,customer_id,show_id,customer_name,age,gender,country,subscription_type,watch_time_minutes,rating
123,c5123,s7892,Jordan Salas,56,Male,USA,Standard,972,3
124,c5124,s17071,Erin Bell,40,Other,India,Premium,1935,3
125,c5125,s19624,Marc Griffin,64,Female,UK,Premium,2541,3
126,c5126,s17803,Tamara Salazar,50,Female,South Korea,Premium,3356,3
128,c5128,s14389,Jessica Smith,67,Female,Germany,Premium,935,5
131,c5131,s12763,Daniel Brown,62,Other,USA,Premium,2265,1
132,c5132,s6622,Cassie Torres,26,Other,USA,Standard,613,5
133,c5133,s6709,Michelle Ortiz,54,Other,USA,Premium,2227,5
135,c5135,s16761,Holly Kelly,51,Other,India,Standard,154,3
136,c5136,s3175,Melissa Garrett,51,Male,Japan,Standard,3776,1
137,c5137,s5950,Jo Juarez,18,Other,Canada,Basic,2194,4
138,c5138,s1210,Mr. David Mccoy,67,Female,UK,Standard,2503,1
139,c5139,s16538,John Christian,20,Male,Australia,Premium,4008,2
141,c5141,s10334,Timothy Stone,34,Male,South Korea,Standard,3515,1
143,c5143,s13706,Mathew Fowler,56,Female,Canada,Standard,256,5
145,c5145,s20879,Preston Wood,78,Other,Brazil,Premium,2225,4
146,c5146,s2525,Thomas Stark,59,Other,Germany,Basic,3910,5
147,c5147,s17210,Jason Gonzalez,74,Male,Australia,Basic,3623,3
148,c5148,s4929,Sherri Vance,74,Female,Germany,Standard,4724,5
150,c5150,s18177,Brittany Wood,78,Female,USA,Premium,1444,2
151,c5151,s20771,Richard Johnson,67,Other,India,Basic,2166,5
152,c5152,s16910,Benjamin Jones,46,Other,Australia,Premium,1790,4
153,c5153,s19564,Mark Russell,33,Male,Canada,Basic,4817,1
155,c5155,s14821,Nicholas Jackson,49,Female,USA,Premium,847,4
156,c5156,s5630,Mark Hammond,30,Other,Germany,Premium,2841,4
157,c5157,s17431,Sophia Mclean DDS,66,Other,UK,Basic,1896,3
158,c5158,s18345,Sarah Gonzales,66,Male,France,Basic,1970,3
159,c5159,s8481,Mr. Dylan Fernandez MD,55,Female,Canada,Basic,1513,3
161,c5161,s11319,Benjamin Miller,42,Other,Brazil,Premium,3653,3
164,c5164,s13175,Kathryn Carter,21,Female,Australia,Basic,741,2
165,c5165,s9153,Katherine Carter,26,Female,Australia,Basic,2044,5
167,c5167,s16865,Frederick Rice,74,Male,Australia,Basic,213,5
168,c5168,s16180,Angela Phillips,66,Other,Germany,Standard,4458,4
169,c5169,s12222,Kimberly Thompson,16,Other,France,Basic,4373,5
170,c5170,s17926,Timothy Johnson,35,Male,Japan,Basic,352,5
171,c5171,s17158,Gary Henson,58,Female,Germany,Premium,3427,2
172,c5172,s6655,Cheryl Evans,31,Male,Germany,Standard,2087,5
174,c5174,s19652,Caroline Martin,27,Female,USA,Standard,4526,3
175,c5175,s3101,Ricardo Valentine,28,Male,UK,Premium,4005,3
178,c5178,s8797,Michaela Bryant,57,Other,USA,Premium,490,5
179,c5179,s14110,David Coleman,21,Other,India,Basic,186,4
180,c5180,s7161,Lindsay Juarez,48,Other,Australia,Premium,3678,1
181,c5181,s5378,Miss Kaitlyn Hebert,18,Female,Germany,Basic,4740,4
185,c5185,s6795,Dustin Smith,52,Other,USA,Standard,1244,2
187,c5187,s4120,Ralph Young,24,Other,India,Standard,3046,5
189,c5189,s6133,William Gilbert,30,Female,Brazil,Premium,341,2
190,c5190,s1845,Victor Santos,49,Male,India,Standard,4371,2
191,c5191,s10937,Richard Bautista,38,Other,France,Premium,4227,5
193,c5193,s7649,Kevin Robinson,47,Male,Canada,Standard,4792,1
194,c5194,s13234,Mike Lewis,68,Male,Canada,Premium,2748,2
195,c5195,s3064,Victoria Johnson,39,Female,Australia,Premium,520,1
197,c5197,s1849,Kelsey Coleman,74,Other,Australia,Premium,4425,1
198,c5198,s9184,Travis Greene,73,Female,Brazil,Standard,2564,5
200,c5200,s16106,Stephen Parrish,49,Female,USA,Basic,2699,1
202,c5202,s8918,David Alexander,21,Female,France,Basic,170,1
203,c5203,s3925,Billy Dixon,65,Male,Canada,Premium,4456,1
205,c5205,s7824,Erica Collins,78,Male,Japan,Premium,1830,4
207,c5207,s5295,Teresa Gordon,69,Other,Australia,Premium,1909,2
208,c5208,s4400,Aaron Wilson,59,Male,UK,Premium,4797,3
209,c5209,s2101,Richard Smith,19,Male,Japan,Basic,3266,5
211,c5211,s11818,Jeffrey Scott,36,Male,India,Standard,2554,4
212,c5212,s20400,Aaron Chavez,63,Female,South Korea,Basic,4725,2
213,c5213,s16042,Mark Cervantes,17,Other,Japan,Premium,895,1
214,c5214,s2083,Lisa Mata,55,Other,UK,Basic,4058,5
215,c5215,s13524,Rebecca Ryan,50,Female,South Korea,Premium,1104,5
216,c5216,s16960,Melissa Norris,64,Male,South Korea,Standard,2253,4
217,c5217,s5620,Anna Aguirre,27,Female,UK,Standard,4385,4
218,c5218,s1755,Veronica Griffin,16,Other,Brazil,Premium,2274,5
219,c5219,s20262,Tina Davis,38,Male,UK,Basic,2195,5
221,c5221,s1010,Travis Carter,53,Male,Germany,Standard,2832,4
222,c5222,s12527,Michael Fleming,18,Female,UK,Basic,4202,2
224,c5224,s11096,Brittney Reeves,78,Male,UK,Basic,4038,1
225,c5225,s16551,Michael Barnes,15,Female,UK,Premium,4566,5
226,c5226,s19511,Alyssa Duran,28,Male,India,Standard,3623,1
227,c5227,s14945,Gary Lang,31,Male,India,Standard,1798,4
228,c5228,s10439,Lisa Liu,60,Male,France,Standard,919,5
230,c5230,s11569,Tonya Conner,13,Female,Australia,Standard,2789,5
231,c5231,s13891,Sue Hodges,39,Other,UK,Premium,3809,2
234,c5234,s6229,Dana Roberts,25,Other,India,Premium,1715,3
235,c5235,s4226,Tracy Friedman,18,Other,India,Standard,4886,2
236,c5236,s2066,Vanessa Wood,25,Male,India,Premium,2637,1
237,c5237,s7556,Monique Warner,51,Female,Brazil,Basic,3841,3
238,c5238,s1449,Jason Glover,13,Other,France,Standard,3933,4
239,c5239,s6451,Shannon Mcdaniel,80,Other,USA,Premium,1050,3
240,c5240,s2930,Nicole Collins,20,Male,Germany,Standard,4717,1
241,c5241,s6758,Clarence Gay,26,Female,Brazil,Premium,2891,3
242,c5242,s5006,Nicole Gomez,63,Male,France,Basic,3319,4
244,c5244,s18606,Shawn Hill,33,Other,Canada,Standard,113,5
245,c5245,s14428,Chris Hartman,60,Male,France,Premium,2623,4
246,c5246,s18280,Ronald Mann,43,Female,USA,Standard,3880,3
249,c5249,s2672,Tiffany Green,42,Male,UK,Basic,2531,4
250,c5250,s6236,Joanna Chambers,78,Female,France,Standard,3373,4
251,c5251,s19221,Isaiah Rogers,54,Male,Australia,Premium,3858,3
253,c5253,s14710,Jessica Garcia,66,Female,India,Basic,2766,2
254,c5254,s10516,Tracy Young,69,Male,Australia,Basic,4317,4
255,c5255,s11147,Kyle Hartman,49,Other,India,Premium,3266,5
256,c5256,s15047,Norma Ball,19,Female,France,Basic,3117,1
257,c5257,s16892,Philip Miller,35,Female,Germany,Standard,2834,1
259,c5259,s13573,Ryan Martin,46,Male,USA,Basic,4896,1
260,c5260,s18797,Duane Blair,33,Male,South Korea,Basic,1585,2
261,c5261,s17115,Alyssa Richards,15,Female,Australia,Premium,3510,4
262,c5262,s18099,Laurie Morris,20,Other,Brazil,Basic,4096,5
263,c5263,s2523,Michael Love,80,Male,UK,Standard,3672,2
264,c5264,s17174,Christopher Pearson,36,Female,Australia,Premium,2239,3
265,c5265,s14055,Susan Hayes,46,Male,UK,Basic,3158,2
266,c5266,s14242,Alexander Hughes,39,Female,Japan,Basic,4497,1
267,c5267,s10210,Daniel Fitzpatrick,32,Other,Germany,Premium,295,3
268,c5268,s5217,Tiffany Ross,44,Female,USA,Basic,476,1
271,c5271,s15445,Brad Watson,19,Female,Japan,Basic,18,3
272,c5272,s20352,Margaret Allen,25,Female,Canada,Basic,2598,2
273,c5273,s8716,Mr. Nicholas Douglas MD,76,Female,USA,Standard,2082,1
274,c5274,s15031,James Long,44,Male,South Korea,Standard,2873,4
275,c5275,s7416,Jason Lee,28,Female,Australia,Standard,4566,4
276,c5276,s16368,Laura Beck,52,Male,France,Standard,4222,2
277,c5277,s6363,Jeffrey Lopez,25,Male,India,Standard,4524,4
278,c5278,s7952,Samantha Marsh,30,Other,Australia,Standard,1088,3
279,c5279,s11575,Barry Gould,77,Female,Brazil,Basic,2919,3
280,c5280,s14722,Rachel Smith,39,Female,Germany,Basic,2559,5
281,c5281,s5068,Ernest Reid,71,Female,USA,Premium,4134,3
282,c5282,s8448,Benjamin Moody,16,Male,Germany,Basic,1677,1
284,c5284,s19268,Rebekah Fuentes,50,Female,UK,Premium,4561,5
285,c5285,s9937,Todd Taylor,47,Female,India,Standard,4682,2
286,c5286,s19563,Matthew Campbell,65,Male,South Korea,Basic,2020,4
287,c5287,s3808,Nicole Cooper,40,Male,Germany,Basic,3086,1
288,c5288,s3213,Kayla Williams,49,Female,Canada,Basic,1152,1
289,c5289,s16231,Jason Cannon,44,Male,Australia,Basic,4185,4
290,c5290,s20955,Jay Martinez,51,Other,South Korea,Premium,4137,1
291,c5291,s3105,Anna Mcclain,58,Male,Germany,Standard,297,2
293,c5293,s19087,Joseph Page,52,Female,Germany,Premium,4234,4
294,c5294,s4653,Kristen Wolf,72,Male,UK,Basic,1712,4
295,c5295,s11317,Garrett Shelton,56,Female,Australia,Basic,1439,1
296,c5296,s18132,Margaret Johnson,58,Female,Australia,Premium,2101,3
299,c5299,s9089,William Carson,31,Other,South Korea,Standard,785,5
301,c5301,s12307,Erin Mendoza,20,Female,UK,Premium,4979,1
303,c5303,s6329,Jeffrey Smith,22,Other,India,Basic,2949,4
304,c5304,s15917,Kevin Arellano,62,Male,Brazil,Basic,2755,5
306,c5306,s11348,Arthur Howell,59,Female,Japan,Standard,3111,1
308,c5308,s15373,Timothy Hanna,62,Other,France,Premium,820,5
311,c5311,s5371,Marcus Thomas,52,Other,France,Standard,1698,1
312,c5312,s2172,Walter Patterson,18,Other,UK,Basic,3298,1
317,c5317,s12104,Charles Davis,63,Other,Brazil,Premium,4298,3
318,c5318,s5301,Daniel Donaldson,34,Female,Canada,Basic,1605,1
319,c5319,s11118,James Brown,26,Female,Japan,Standard,1539,5
320,c5320,s7056,Jessica Harris,16,Male,Germany,Premium,3826,1
322,c5322,s20901,Yolanda Mcintyre,16,Other,Japan,Premium,4421,3
323,c5323,s4058,Kathryn Nash,52,Female,India,Standard,4752,4
324,c5324,s19327,Eric Williams MD,70,Other,UK,Premium,2917,5
325,c5325,s8603,Savannah Hoover,69,Female,India,Standard,3801,2
326,c5326,s8877,Alexandra Carter,50,Other,UK,Premium,3725,1
328,c5328,s10259,Tony Harris,20,Male,Brazil,Premium,3962,4
329,c5329,s13447,Timothy Massey,54,Female,Brazil,Standard,4129,3
331,c5331,s15669,Lisa Perry,28,Other,South Korea,Standard,2210,5
334,c5334,s12014,Michael Buchanan,33,Other,Germany,Premium,3858,5
335,c5335,s2468,Angela Taylor,48,Other,Brazil,Standard,2891,5
336,c5336,s3858,Ashley Rogers,72,Female,USA,Premium,3436,5
337,c5337,s10518,Jeremiah Clay,57,Male,UK,Standard,3398,5
339,c5339,s7902,Desiree Rice,13,Other,France,Basic,3203,1
340,c5340,s19931,Jennifer Espinoza,62,Male,Australia,Basic,1876,3
341,c5341,s10900,Jessica Duncan,63,Male,Australia,Basic,1254,3
343,c5343,s19522,Jeffrey Fisher,70,Male,USA,Basic,397,3
344,c5344,s18007,Heather Landry,48,Other,UK,Standard,4104,5
345,c5345,s16710,Cynthia Rose,51,Male,Canada,Basic,1826,2
346,c5346,s13232,Megan Gonzalez,57,Other,Australia,Standard,82,2
347,c5347,s8773,Miguel Lyons,18,Other,Japan,Premium,3672,2
348,c5348,s14749,Diane Fisher,61,Other,USA,Standard,4387,4
349,c5349,s11971,Shelly Obrien,53,Female,India,Standard,1215,4
351,c5351,s17240,Mr. Tom Powers,64,Female,France,Basic,688,5
352,c5352,s17955,Tara Perez,71,Male,Japan,Basic,464,5
353,c5353,s13756,Dwayne Barnes,37,Other,France,Premium,521,1
354,c5354,s16812,Claudia Parker,54,Male,Japan,Premium,4681,1
355,c5355,s13335,Chris Watkins,65,Female,Australia,Premium,3745,4
356,c5356,s11349,Stephanie Robinson,29,Male,France,Standard,3834,4
357,c5357,s1954,Emily Dunlap,50,Other,South Korea,Standard,778,2
358,c5358,s19299,Cindy Richards,64,Male,Brazil,Basic,3430,1
359,c5359,s20863,Jason Hunt,52,Other,Brazil,Premium,2992,5
360,c5360,s11147,Shari Lam,44,Female,USA,Standard,3358,2
362,c5362,s12702,Dakota Martinez,22,Female,UK,Standard,3951,4
363,c5363,s17512,Danielle Parks,41,Other,Australia,Standard,2599,4
364,c5364,s15399,William Young,76,Female,France,Standard,182,2
365,c5365,s8970,Dr. Holly Molina,35,Female,Australia,Standard,3963,2
366,c5366,s14008,Robert Carson,66,Female,India,Basic,263,4
367,c5367,s4327,John Jenkins,69,Other,Japan,Basic,3866,5
368,c5368,s4727,Bruce Moses,63,Male,USA,Premium,4626,1
369,c5369,s6910,Roy Dawson,46,Female,Germany,Premium,2099,4
370,c5370,s10294,Shelly Watson,23,Other,Australia,Standard,1496,1
372,c5372,s4490,Dale Rodriguez,48,Male,South Korea,Basic,2274,3
374,c5374,s14771,Amanda Weber,74,Male,Canada,Basic,3365,2
377,c5377,s3643,Jamie Garrison,30,Male,Japan,Basic,1336,1
378,c5378,s18806,Amy Dunn,66,Male,Japan,Basic,4794,2
379,c5379,s20009,Carrie Hall,77,Male,USA,Basic,2075,4
381,c5381,s19444,Rachel Raymond,41,Male,Canada,Premium,3532,4
382,c5382,s13241,Timothy Garner,35,Other,Brazil,Basic,4682,2
383,c5383,s9380,Terry Villarreal,33,Other,France,Basic,4253,5
385,c5385,s17025,Charles Ramirez,55,Other,South Korea,Premium,3875,5
386,c5386,s16768,Jesse Morgan,64,Female,Germany,Standard,1120,5
387,c5387,s9083,Micheal Martin,15,Female,Japan,Standard,4692,2
388,c5388,s16786,Amber Dunn,20,Female,Australia,Standard,4485,1
391,c5391,s19717,Maurice Lee,56,Female,Canada,Basic,418,2
393,c5393,s15172,Amy Garcia,30,Other,Japan,Basic,494,3
394,c5394,s11180,Matthew Cooke,56,Other,Japan,Basic,2126,2
395,c5395,s7921,Joshua Jackson,37,Other,South Korea,Standard,3749,5
396,c5396,s8870,Jason Koch,68,Other,South Korea,Standard,364,4
397,c5397,s16759,Robert Vega,73,Female,France,Basic,1516,3
399,c5399,s20131,Paul Maynard,38,Male,Australia,Standard,3726,1
400,c5400,s7879,Tracey Brown,57,Male,South Korea,Standard,3892,3
403,c5403,s8480,Joshua Walker,59,Male,Australia,Standard,2796,4
404,c5404,s10749,Mark Nguyen,34,Other,USA,Standard,3756,2
407,c5407,s20320,Dana Romero,27,Male,Australia,Standard,2936,4
408,c5408,s2752,William Bartlett,29,Female,Germany,Premium,3118,4
409,c5409,s13875,Victoria Nelson,41,Other,UK,Basic,1621,1
411,c5411,s13295,Elizabeth Vasquez,28,Other,USA,Basic,4976,4
413,c5413,s17334,Matthew Wallace,17,Other,Canada,Premium,2103,3
416,c5416,s14325,Ashley Francis,77,Female,India,Standard,134,1
419,c5419,s12241,Thomas Thomas,67,Male,Germany,Premium,1247,5
420,c5420,s15506,David Donovan,49,Other,India,Basic,1716,3
421,c5421,s6628,Michael Parsons,42,Male,UK,Premium,1396,3
423,c5423,s3645,Tyler Bates,22,Male,USA,Basic,4260,1
427,c5427,s12156,Nicholas Robles,32,Other,Canada,Standard,3573,1
428,c5428,s13201,William Smith,19,Male,Japan,Standard,216,1
430,c5430,s1408,Jonathan Foley,41,Other,Canada,Premium,1535,2
433,c5433,s14099,Ethan Smith,48,Other,USA,Standard,2322,4
437,c5437,s1756,Margaret Miller,58,Other,Australia,Premium,1305,3
438,c5438,s14690,Micheal Martinez,62,Male,Canada,Premium,2950,2
439,c5439,s14868,Sierra Clayton,36,Female,Canada,Standard,1183,3
440,c5440,s10781,Dr. Andrew Thomas MD,78,Male,France,Standard,203,3
441,c5441,s12044,Christopher Juarez,74,Female,Germany,Premium,1625,1
442,c5442,s5679,Elizabeth Hernandez,48,Male,Australia,Premium,1029,5
443,c5443,s8718,Kayla Owen,78,Female,UK,Premium,2713,5
444,c5444,s4884,Michael Alexander,25,Female,Germany,Standard,4118,5
445,c5445,s3081,Teresa Miller,73,Other,South Korea,Basic,1798,2
447,c5447,s4169,Kenneth King,72,Other,Brazil,Premium,4833,5
448,c5448,s6794,Sheena Moore,75,Other,France,Standard,3422,4
449,c5449,s17780,Lee Brown,40,Female,Brazil,Standard,3864,4
450,c5450,s17898,Timothy Baker,78,Female,South Korea,Premium,2085,5
452,c5452,s7814,Timothy Rogers,57,Male,India,Standard,2069,2
453,c5453,s16992,Sharon Costa,80,Female,Germany,Basic,4471,4
454,c5454,s2869,Diane Garcia,48,Other,Japan,Standard,4136,4
455,c5455,s9341,Justin Cook,31,Male,South Korea,Premium,3467,3
456,c5456,s8315,Cynthia Jones,27,Other,Japan,Basic,3738,2
457,c5457,s14740,Cynthia Jones,66,Male,Brazil,Basic,2480,3
458,c5458,s16863,Sarah Gray,48,Other,Germany,Premium,3356,5
459,c5459,s17722,Kelly Cain,25,Female,Japan,Standard,98,5
460,c5460,s20592,Douglas Potts,60,Male,Canada,Premium,2330,4
461,c5461,s18436,Thomas Baldwin,17,Male,Germany,Standard,48,3
463,c5463,s4559,Michele Bennett,30,Other,Brazil,Standard,3421,1
464,c5464,s13345,Derek Harding,59,Other,India,Basic,2254,3
468,c5468,s7978,Keith Anderson,66,Other,USA,Standard,4737,5
471,c5471,s13241,Allen Knight,56,Male,South Korea,Basic,347,1
472,c5472,s13287,Fernando Rodriguez,70,Male,India,Standard,1075,2
474,c5474,s12530,Mrs. Stephanie Robinson,23,Other,UK,Premium,2224,3
476,c5476,s5160,Chad Martinez,36,Male,Brazil,Standard,2781,2
477,c5477,s9352,Penny Nichols,26,Female,South Korea,Premium,4366,1
479,c5479,s12797,Jennifer Wilson,47,Other,France,Premium,3229,3
480,c5480,s12329,Joel Gray,75,Male,Japan,Basic,360,2
481,c5481,s20606,Mark Johnson,80,Male,France,Basic,350,5
482,c5482,s8840,David Davis,58,Female,India,Basic,4451,1
484,c5484,s10719,James Lee,35,Female,Brazil,Standard,4772,2
486,c5486,s10689,Michelle Ross,55,Other,Canada,Premium,4200,5
490,c5490,s9545,Diane Harris,61,Female,Japan,Premium,4739,3
491,c5491,s12231,Tammy Kirk,20,Female,India,Basic,2510,5
494,c5494,s14381,Terry Harmon,38,Other,Australia,Standard,2461,1
495,c5495,s19152,Kristen Carter,72,Other,Brazil,Basic,1252,4
496,c5496,s14408,Thomas Stevens,20,Other,UK,Standard,157,1
497,c5497,s5619,Kevin Gallagher,77,Male,Brazil,Standard,1722,4
501,c5501,s16906,Nicole Olson,76,Female,South Korea,Basic,4182,4
503,c5503,s15953,Peter George,19,Other,South Korea,Basic,1581,1
506,c5506,s19457,Brian Morales,71,Other,Australia,Premium,1080,5
508,c5508,s20139,Julie Harris,31,Male,India,Premium,325,1
509,c5509,s8014,Diane Floyd,72,Male,France,Basic,4009,2
510,c5510,s8293,Joy Burns,33,Other,Brazil,Premium,3335,5
511,c5511,s15476,Jennifer Davis,71,Other,Brazil,Premium,1024,4
512,c5512,s7461,Christopher Taylor,44,Male,Canada,Standard,2655,3
516,c5516,s20155,Robert Rogers,55,Other,France,Basic,2374,3
517,c5517,s18446,Katherine Murphy,38,Male,Germany,Premium,796,2
518,c5518,s9607,Brian Smith,35,Other,Germany,Premium,812,3
520,c5520,s19305,Isaiah Russo,41,Female,Japan,Standard,3286,1
521,c5521,s19036,Ashley Hunter,50,Male,Australia,Premium,3045,5
523,c5523,s12144,Anthony Castillo,57,Male,USA,Premium,313,2
525,c5525,s20708,John Martin,40,Male,Japan,Basic,29,3
526,c5526,s5039,Vanessa Higgins MD,30,Other,UK,Premium,1575,2
528,c5528,s3309,Mr. Richard Sandoval Jr.,44,Other,India,Premium,4425,5
531,c5531,s12179,Jamie Good,42,Male,Brazil,Basic,2988,5
532,c5532,s20393,Ashlee Thompson,78,Male,UK,Premium,1934,2
533,c5533,s10757,Marcia Hudson,62,Female,Brazil,Basic,3114,4
534,c5534,s4692,Claire Gould,28,Female,Australia,Basic,527,2
536,c5536,s3503,Shelly Parker,65,Other,USA,Standard,1152,1
538,c5538,s1241,Heidi Peterson,16,Other,UK,Basic,1821,4
540,c5540,s17423,Marie Cox,46,Other,UK,Premium,1767,4
542,c5542,s19524,Christopher Alvarez,38,Male,UK,Standard,1703,3
543,c5543,s3365,Julie Yu,18,Other,Canada,Standard,4360,5
545,c5545,s8482,Cynthia Smith,45,Other,France,Premium,3137,3
546,c5546,s12336,Zachary Pacheco,39,Other,France,Standard,1554,3
547,c5547,s8113,Gregory Morris,47,Other,Brazil,Premium,1789,3
548,c5548,s8617,Shelia Collins,56,Female,UK,Basic,3409,5
549,c5549,s13691,Nancy Vasquez,41,Other,UK,Basic,612,2
550,c5550,s7360,Julie Lambert,46,Other,South Korea,Basic,1080,4
552,c5552,s15465,Nicholas Delgado,32,Male,USA,Premium,3361,1
553,c5553,s13575,Veronica Taylor,75,Female,USA,Basic,3141,2
554,c5554,s3565,Timothy Gonzalez,64,Female,Japan,Basic,3568,1
556,c5556,s1554,Amanda Stewart,25,Other,India,Premium,240,5
